# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValue.clear.count,1774243181445000000,1774243204262000000,0
workspaceModel.updates.ms,1774243181445000000,1774243204262000000,0
workspaceModel.initializing.ms,1774243181445000000,1774243204262000000,0
workspaceModel.on.changed.ms,1774243181445000000,1774243204262000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1774243181445000000,1774243204262000000,0
workspaceModel.cachedValue.total.get.count,1774243181445000000,1774243204262000000,17
workspaceModel.updates.precise.ms,1774243181445000000,1774243204262000000,0
workspaceModel.cachedValueWithParameters.clear.count,1774243181445000000,1774243204262000000,0
workspaceModel.cachedValue.calculated.count,1774243181445000000,1774243204262000000,2
workspaceModel.update.unloaded.entities.ms,1774243181445000000,1774243204262000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1774243181445000000,1774243204262000000,3
workspaceModel.check.recursive.update.ms,1774243181445000000,1774243204262000000,0
workspaceModel.init.bridges.ms,1774243181445000000,1774243204262000000,0
workspaceModel.pre.handlers.ms,1774243181445000000,1774243204262000000,0
workspaceModel.on.before.changed.ms,1774243181445000000,1774243204262000000,0
workspaceModel.updates.count,1774243181445000000,1774243204262000000,0
workspaceModel.loading.total.ms,1774243181445000000,1774243204262000000,59
workspaceModel.cachedValueWithParameters.calculated.count,1774243181445000000,1774243204262000000,0
workspaceModel.replace.project.model.ms,1774243181445000000,1774243204262000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1774243181445000000,1774243204262000000,0
workspaceModel.collect.changes.ms,1774243181445000000,1774243204262000000,0
workspaceModel.full.replace.project.model.ms,1774243181445000000,1774243204262000000,0
workspaceModel.to.snapshot.ms,1774243181445000000,1774243204262000000,0
workspaceModel.cachedValue.from.cache.count,1774243181445000000,1774243204262000000,15
workspaceModel.loading.from.cache.ms,1774243181445000000,1774243204262000000,51
NonBlockingReadAction.failedExecutionTimeUs,1774243181445000000,1774243204262000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1774243181445000000,1774243204262000000,28960
NonBlockingReadAction.finalizedExecutionsCount,1774243181445000000,1774243204262000000,12
NonBlockingReadAction.failedExecutionsCount,1774243181445000000,1774243204262000000,0
AWTEventQueue.dispatchTimeTotalNS,1774243181445000000,1774243204262000000,3698304374
cacheStateStorage.get.duration,1774243181445000000,1774243204262000000,0
cacheStateStorage.set.duration,1774243181445000000,1774243204262000000,13
cacheStateStorage.set.counter,1774243181445000000,1774243204262000000,2
cacheStateStorage.get.counter,1774243181445000000,1774243204262000000,4
DiskQueryRelay.taskExecutionTotalTimeUs,1774243181445000000,1774243204262000000,3330
DiskQueryRelay.tasksExecuted,1774243181445000000,1774243204262000000,40
writeAction.median.wait.ms,1774243181445000000,1774243204262000000,0
writeAction.wait.ms,1774243181445000000,1774243204262000000,1
writeAction.count,1774243181445000000,1774243204262000000,4
DiskQueryRelay.tasksRequested,1774243181445000000,1774243204262000000,40
writeAction.max.wait.ms,1774243181445000000,1774243204262000000,1
DiskQueryRelay.taskWaitingTotalTimeUs,1774243181445000000,1774243204262000000,13198
VFS.fileByIdCache.hits,1774243181445000000,1774243204262000000,0
VFS.folderCaseSensitivityReads,1774243181445000000,1774243204262000000,0
VFS.invertedFileNameIndex.requests,1774243181445000000,1774243204262000000,0
VFS.fileByIdCache.misses,1774243181445000000,1774243204262000000,0
VFS.fileChildByName,1774243181445000000,1774243204262000000,263
FileChannelInterruptsRetryer.totalRetriedAttempts,1774243181445000000,1774243204262000000,0
DirectByteBufferAllocator.misses,1774243181445000000,1774243204262000000,197
FilePageCache.totalPageDisposalsUs,1774243181445000000,1774243204262000000,1948
FilePageCache.maxRegisteredFiles,1774243181445000000,1774243204262000000,543
FilePageCache.pageLoadsAboveSizeThreshold,1774243181445000000,1774243204262000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1774243181445000000,1774243204262000000,41943040
FilePageCache.capacityInBytes,1774243181445000000,1774243204262000000,629145600
DirectByteBufferAllocator.reclaimed,1774243181445000000,1774243204262000000,43
FilePageCache.uncachedFileAccess,1774243181445000000,1774243204262000000,118
FilePageCache.maxCacheSizeInBytes,1774243181445000000,1774243204262000000,206569472
StorageLockContext.competingThreads.90P,1774243181445000000,1774243204262000000,0
FilePageCache.pageFastCacheHits,1774243181445000000,1774243204262000000,3956
FilePageCache.totalPageLoadsUs,1774243181445000000,1774243204262000000,231128
FilePageCache.pageLoads,1774243181445000000,1774243204262000000,200
FilePageCache.disposedBuffers,1774243181445000000,1774243204262000000,200
DirectByteBufferAllocator.hits,1774243181445000000,1774243204262000000,3
DirectByteBufferAllocator.disposed,1774243181445000000,1774243204262000000,157
StorageLockContext.competingThreads.max,1774243181445000000,1774243204262000000,0
StorageLockContext.competingThreads.avg,1774243181445000000,1774243204262000000,0.0
FilePageCache.pageHits,1774243181445000000,1774243204262000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1774243181445000000,1774243204262000000,41943040
Indexes.entries.lookupDuration90PMs,1774243181445000000,1774243204262000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1774243181445000000,1774243204262000000,0
Indexes.allKeys.lookupDurationAvgMs,1774243181445000000,1774243204262000000,0.0
Indexing.totalTimeIndexersSleptMs,1774243181445000000,1774243204262000000,0
Indexes.entries.lookupDurationAvgMs,1774243181445000000,1774243204262000000,0.0
Indexes.allKeys.lookups,1774243181445000000,1774243204262000000,0
Indexes.stubs.lookups,1774243181445000000,1774243204262000000,0
Indexes.entries.lookupDurationMaxMs,1774243181445000000,1774243204262000000,0.0
Indexing.writesQueuedAvg,1774243181445000000,1774243204262000000,0.0
Indexes.stubs.lookupDuration90PMs,1774243181445000000,1774243204262000000,0.0
Indexing.cache.totalCacheMisses,1774243181445000000,1774243204262000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1774243181445000000,1774243204262000000,0
Indexes.entries.lookups,1774243181445000000,1774243204262000000,1
Indexes.stubs.lookupDurationMaxMs,1774243181445000000,1774243204262000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1774243181445000000,1774243204262000000,0
Indexes.allKeys.lookupDurationMaxMs,1774243181445000000,1774243204262000000,0.0
Indexes.allKeys.lookupDuration90PMs,1774243181445000000,1774243204262000000,0.0
Indexing.writesQueuedMin,1774243181445000000,1774243204262000000,0
Indexes.stubs.lookupDurationAvgMs,1774243181445000000,1774243204262000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1774243181445000000,1774243204262000000,0
Indexing.cache.totalCacheEvicted,1774243181445000000,1774243204262000000,0
Indexing.cache.totalCacheAccesses,1774243181445000000,1774243204262000000,0
